date,CAT,MMM,PG,BA,VZ,WMT,GS,DD,INTC,TRV,MRK,MCD,CSCO,JPM,NKE,CVX,UNH,WBA,AAPL,PFE,IBM,KO,JNJ,XOM,AXP,HD,RTX,V,DIS,MSFT
2009-07-06,21.3350772857666,31.898006439208984,33.533538818359375,31.03191375732422,13.195230484008787,11.45363998413086,113.54576873779295,14.626422882080078,10.618228912353516,27.84282875061035,15.995624542236328,38.12461471557617,12.459364891052246,22.26433563232422,10.793091773986816,35.46315002441406,19.398509979248047,18.797195434570312,4.18529224395752,7.79812479019165,57.806522369384766,15.40689182281494,36.45030975341797,38.84280014038086,18.86281394958496,15.925125122070312,22.333101272583008,13.630091667175291,19.727184295654297,17.357851028442383
2009-07-07,20.386096954345703,30.89379501342773,33.36640930175781,29.86898422241211,12.882299423217772,11.480032920837402,110.50672149658205,14.19426155090332,10.432056427001951,27.21542739868164,15.840767860412598,37.34225845336914,12.264371871948242,22.40775489807129,10.64754581451416,34.6669807434082,20.268177032470703,18.38315773010254,4.088367938995361,7.808829307556152,56.97623825073242,15.293705940246582,36.19923400878906,37.96443557739258,18.149036407470703,15.59103012084961,21.6881103515625,13.414416313171388,19.24873924255371,16.856565475463867
2009-07-08,20.581281661987305,31.030481338500977,33.83564376831055,30.259174346923828,12.648317337036133,11.607217788696287,107.41341400146484,14.13663387298584,10.23304271697998,27.236328125,16.081642150878906,37.50004959106445,12.190414428710938,22.339454650878903,10.70992374420166,34.711204528808594,19.86555290222168,18.956432342529297,4.143321990966797,7.81953239440918,57.25489044189453,15.252825736999512,36.74642562866211,37.793304443359375,18.221221923828125,15.772000312805176,21.797807693481445,13.364992141723633,19.000978469848636,16.879013061523438
2009-07-09,20.62839126586914,31.06730079650879,33.68779754638672,30.06789779663086,12.643902778625488,11.537628173828123,111.02611541748048,14.17505168914795,10.284401893615724,27.222396850585938,15.490917205810549,37.32254409790039,12.21730899810791,22.960941314697266,10.616360664367676,34.87708282470703,20.082963943481445,18.71438407897949,4.117354869842529,7.648264408111572,58.05104064941406,15.315711975097656,36.495365142822266,37.62789535522461,18.285383224487305,15.785910606384276,21.784643173217773,13.578417778015137,19.24873924255371,16.789230346679688
2009-07-10,20.547643661499023,31.435325622558597,33.565673828125,30.335693359375,12.635076522827148,11.415245056152344,109.98727416992188,14.079015731811523,10.297240257263184,27.18754768371582,15.169748306274414,37.50661849975586,12.33161163330078,22.086769104003903,10.666264533996582,33.948204040527344,19.86555290222168,18.37041282653809,4.182574272155762,7.600092887878418,57.3402214050293,15.189942359924316,36.64986038208008,37.14307403564453,18.62221908569336,15.674553871154783,21.78024673461914,13.448116302490234,19.14621925354004,16.751815795898438
2009-07-13,21.40238380432129,31.80334854125977,34.054176330566406,30.94010353088379,12.824913024902344,11.477632522583008,115.85604858398438,14.68404769897461,10.5861234664917,28.163503646850582,15.381943702697754,37.651248931884766,12.486258506774902,23.705368041992188,10.716158866882324,34.523223876953125,20.13932991027832,18.676158905029297,4.297919750213623,7.899816513061523,58.92680740356445,15.42262077331543,37.158447265625,37.473899841308594,19.66481208801269,16.0852108001709,22.561254501342773,13.55820083618164,19.393985748291016,17.38028907775879
2009-07-14,21.48988151550293,31.8769645690918,34.414146423339844,30.91714859008789,12.780759811401367,11.549623489379885,116.02662658691406,14.77047348022461,10.804396629333496,27.56398200988769,15.57694149017334,37.77616500854492,12.59384059906006,23.69853401184082,10.791014671325684,34.83285903930664,19.94608497619629,18.727113723754883,4.29580545425415,7.974745273590088,58.71641540527344,15.49807357788086,37.48677062988281,37.77049255371094,19.616676330566406,16.481952667236328,22.631460189819336,13.544724464416504,19.74427032470703,17.29051399230957
2009-07-15,22.77535629272461,32.597259521484375,35.127628326416016,31.643978118896484,12.952935218811035,11.650408744812012,120.36808776855467,15.894110679626465,11.58760929107666,28.12865447998047,15.89238739013672,37.526344299316406,13.320025444030762,24.76394462585449,11.005171775817873,35.70090103149414,20.05880546569824,19.10293960571289,4.435003757476807,8.038971900939941,60.97407531738281,15.88796615600586,37.95671081542969,39.0367431640625,21.83017921447754,16.760356903076172,23.58357810974121,14.074913024902344,20.572998046875,18.046178817749023
2009-07-16,23.27285385131836,33.333335876464844,35.487579345703125,32.17188262939453,13.023571014404297,11.6408109664917,121.59303283691406,15.788472175598145,11.876494407653809,28.2611026763916,15.984148979187012,37.61838912963867,13.528467178344728,24.6751708984375,11.059229850769045,35.877838134765625,20.332597732543945,18.720752716064453,4.4543280601501465,8.065736770629883,62.918975830078125,15.969717979431152,38.14341354370117,39.04813766479492,22.68028450012207,16.98308563232422,23.680105209350582,14.470322608947754,21.179597854614254,18.285594940185547
2009-07-17,23.16381072998047,33.08095932006836,35.943939208984375,31.643978118896484,13.063302993774414,11.63601303100586,121.59303283691406,16.316675186157227,12.062667846679688,28.17744255065918,15.875176429748535,38.02598190307617,13.790694236755373,25.194210052490234,10.90328884124756,36.00501251220703,20.20376205444336,18.994653701782227,4.582052230834961,8.006858825683594,65.63727569580078,15.82193660736084,38.13053894042969,39.08235931396485,22.47978973388672,17.171005249023438,23.605512619018555,14.400674819946287,20.94037628173828,18.17336845397949
